tau,clarabel,ecos,gurobi,mosek,qoco
7.393819919175866,1.0,1.0,0.508,0.666,1.0
7.427982482564916,1.0,1.0,0.511,0.667,1.0
7.46230289139111,1.0,1.0,0.512,0.667,1.0
7.496781874966877,1.0,1.0,0.513,0.669,1.0
7.531420165974372,1.0,1.0,0.514,0.67,1.0
7.566218500481055,1.0,1.0,0.517,0.673,1.0
7.6011776179553285,1.0,1.0,0.519,0.675,1.0
7.636298261282244,1.0,1.0,0.521,0.675,1.0
7.671581176779302,1.0,1.0,0.523,0.676,1.0
7.707027114212299,1.0,1.0,0.525,0.676,1.0
7.742636826811269,1.0,1.0,0.525,0.678,1.0
7.778411071286488,1.0,1.0,0.526,0.679,1.0
7.814350607844544,1.0,1.0,0.526,0.682,1.0
7.850456200204509,1.0,1.0,0.527,0.682,1.0
7.886728615614151,1.0,1.0,0.527,0.682,1.0
7.923168624866253,1.0,1.0,0.527,0.684,1.0
7.959777002314984,1.0,1.0,0.527,0.684,1.0
7.996554525892348,1.0,1.0,0.527,0.685,1.0
8.033501977124734,1.0,1.0,0.528,0.685,1.0
8.070620141149503,1.0,1.0,0.529,0.685,1.0
8.107909806731687,1.0,1.0,0.529,0.685,1.0
8.145371766280743,1.0,1.0,0.53,0.685,1.0
8.183006815867392,1.0,1.0,0.531,0.686,1.0
8.22081575524054,1.0,1.0,0.534,0.689,1.0
8.258799387844268,1.0,1.0,0.534,0.69,1.0
8.296958520834906,1.0,1.0,0.534,0.691,1.0
8.335293965098193,1.0,1.0,0.538,0.691,1.0
8.37380653526649,1.0,1.0,0.539,0.692,1.0
8.412497049736118,1.0,1.0,0.541,0.693,1.0
8.451366330684717,1.0,1.0,0.541,0.694,1.0
8.490415204088746,1.0,1.0,0.541,0.695,1.0
8.529644499741023,1.0,1.0,0.541,0.696,1.0
8.56905505126835,1.0,1.0,0.542,0.697,1.0
8.608647696149244,1.0,1.0,0.543,0.697,1.0
8.648423275731721,1.0,1.0,0.545,0.698,1.0
8.688382635251186,1.0,1.0,0.547,0.698,1.0
8.728526623848378,1.0,1.0,0.548,0.7,1.0
8.768856094587429,1.0,1.0,0.548,0.7,1.0
8.809371904473991,1.0,1.0,0.55,0.7,1.0
8.850074914473433,1.0,1.0,0.55,0.7,1.0
8.89096598952916,1.0,1.0,0.551,0.7,1.0
8.932045998580966,1.0,1.0,0.553,0.701,1.0
8.973315814583522,1.0,1.0,0.554,0.701,1.0
9.014776314524918,1.0,1.0,0.555,0.703,1.0
9.05642837944529,1.0,1.0,0.555,0.703,1.0
9.09827289445556,1.0,1.0,0.555,0.703,1.0
9.14031074875623,1.0,1.0,0.556,0.704,1.0
9.182542835656283,1.0,1.0,0.558,0.706,1.0
9.224970052592175,1.0,1.0,0.559,0.707,1.0
9.267593301146878,1.0,1.0,0.56,0.708,1.0
9.310413487069077,1.0,1.0,0.564,0.709,1.0
9.353431520292384,1.0,1.0,0.565,0.709,1.0
9.396648314954692,1.0,1.0,0.566,0.71,1.0
